业务ID,L1模块,L2主题,L3核心概念,L4原子知识点,知识本体类型,前置依赖节点,纵向前置节点,默认分册,教材版本,年级,学期,单元序号,单元名称,小节序号,小节名称,认知共生节点,建议SOLO上限,常见错误模式
KP-0492,数与代数,分数加减法,分数简便计算,分数加减法凑整,算法-不进位,KP-0370,,五下,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0493,数与代数,分数乘除法,分数简便计算,分数乘法分配律的应用,算法-不进位,KP-0409,,六上,L1,,,,,,,,L1,域2:(a+b)×c只乘a忘乘b/错误展开为a×c+b
KP-0494,数与代数,分数乘除法,分数简便计算,分数乘除法交换律结合律的应用,算法-不进位,KP-0493,,六上,L1,,,,,,,,L1,域2:交换律不理解(3+5=8但5+3需重算)
KP-0495,数与代数,分数乘除法,分数应用模型,比一个数多(少)几分之几是多少,实践-应用模型,KP-0410,,六上,L3,,,,,,,,L3,域3:比与比值混淆/化简比和求比值不分
KP-0496,数与代数,分数乘除法,分数应用模型,已知比一个数多几分之几或少几分之几求单位1,关系-逆运算,KP-0495,,六上,L2,,,,,,,,L2,域3:比与比值混淆/化简比和求比值不分
KP-0497,数与代数,百分数,百分数的计算,百分数加减计算,算法-不进位,KP-0427,,六上,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0498,数与代数,百分数,百分数应用模型,求比一个数多(少)百分之几的数,实践-应用模型,KP-0497,,六上,L3,,,,,,,,L3,域3:比与比值混淆/化简比和求比值不分
KP-0499,数与代数,百分数,百分数应用模型,已知比单位1多百分之几或少百分之几求单位1,关系-逆运算,KP-0498,,六上,L2,,,,,,,,L2,域3:比与比值混淆/化简比和求比值不分
KP-0500,图形与几何,平面图形的认识(多边形),三角形的认识,三角形的定义与特征,概念-认识,,,四下,L1,,,,,,,,L1,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0501,图形与几何,平面图形的认识(多边形),三角形的认识,等腰三角形的性质(两底角相等),概念-性质,KP-0300,,四下,L3,,,,,,,,L3,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0502,图形与几何,平面图形的认识(多边形),三角形的认识,等边三角形的性质(三角各60度),概念-性质,KP-0501,,四下,L3,,,,,,,,L3,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0503,图形与几何,平面图形的测量(面积),组合图形的面积,不规则图形面积(数格子法),实践-构图,KP-0378,,五上,L2,,,,,,,,L2,域4:面积与周长混淆(用错公式)/单位用错
KP-0504,图形与几何,平面图形的认识(多边形),密铺,密铺(平面镶嵌)的认识,概念-认识,KP-0291,,四下,L1,,,,,,,,L1,
KP-0505,图形与几何,图形的运动,旋转,在方格纸上画旋转90度后的图形,实践-构图,KP-0392,,五下,L2,,,,,,,,L2,域4:旋转方向和角度判断错误
KP-0506,统计与概率,统计初步,数据的收集,象形统计图,概念-认识,KP-0139,,三下,L1,,,,,,,,L1,
KP-0507,统计与概率,统计初步,数据的收集,正字记录法,概念-认识,KP-0139,,三下,L1,,,,,,,,L1,
KP-0508,统计与概率,数据统计与分析,条形统计图,起始格与1格表示多个单位,概念-认识,KP-0304,,四上,L1,,,,,,,,L1,
KP-0509,统计与概率,可能性,概率初步,简单事件的概率计算,算法-不进位,KP-0396,,五上,L1,,,,,,,,L1,
KP-0510,综合与实践,数学广角,搭配问题,搭配问题(有序列举),实践-应用模型,KP-0100,,三上,L3,,,,,,,,L4,
KP-0511,综合与实践,数学广角,搭配问题,组合型搭配(无序),实践-应用模型,KP-0510,,三上,L3,,,,,,,,L4,
KP-0512,综合与实践,数学广角,优化问题,沏茶问题(时间统筹),实践-应用模型,,,三上,L3,,,,,,,,L4,
KP-0513,综合与实践,数学广角,优化问题,田忌赛马(策略优化),实践-应用模型,,,三上,L3,,,,,,,,L4,
KP-0514,综合与实践,数学广角,等量代换,等量代换(简单替换),概念-认识,,,三上,L1,,,,,,,,L1,
KP-0515,综合与实践,数学广角,逻辑推理,逻辑推理(条件推理/矩阵法),概念-认识,,,三上,L1,,,,,,,,L1,
KP-0516,综合与实践,数学广角,打电话问题,打电话问题(倍增模型),实践-应用模型,,,三上,L3,,,,,,,,L4,域5:倍与'多几倍'混淆
KP-0517,综合与实践,数学广角,找次品问题,找次品(天平称量策略),实践-应用模型,,,三上,L3,,,,,,,,L4,
KP-0518,综合与实践,数学广角,数字编码,数字编码问题(邮编/身份证),实践-应用模型,,,三上,L3,,,,,,,,L4,
KP-0519,数与代数,常见的数量关系,数量关系公式,效率×时间=总量(工程类数量关系),概念-公式,KP-0086,,四下,L2,,,,,,,,L2,域5:工作效率与工作时间关系搞反
KP-0520,数与代数,常见的数量关系,数量关系公式,单价×数量=总价,概念-公式,KP-0086,,四下,L2,,,,,,,,L2,
KP-0521,数与代数,常见的数量关系,数量关系公式,溶质÷溶液=浓度(浓度公式),概念-公式,KP-0427,,四下,L2,,,,,,,,L2,域3:溶质/溶液/浓度三者关系混淆
KP-0522,数与代数,整数认识(大数),自然数的概念,自然数的定义(0和正整数统称自然数),概念-定义,KP-0224,,四上,L2,,,,,,,,L2,
KP-0523,数与代数,整数认识(大数),计算工具,算盘的认识(上珠=5下珠=1拨珠表数),概念-认识,KP-0225,,四上,L1,,,,,,,,L1,
KP-0524,数与代数,整数认识(大数),计算工具,计算器的基本使用,概念-认识,KP-0225,,四上,L1,,,,,,,,L1,
KP-0525,数与代数,运算定律与简便计算,运算律的推广,整数运算律推广到小数的数学事实,概念-性质,KP-0255|KP-0274,,四下,L3,,,,,,,,L3,
KP-0526,图形与几何,立体图形的认识与测量,容积单位,毫升的认识,概念-认识,KP-0387,,五下,L1,,,,,,,,L1,
KP-0527,图形与几何,立体图形的认识与测量,容积单位,升与毫升的进率(1升=1000毫升),算法-单位换算,KP-0526,,五下,L2,,,,,,,,L2,域3:单位进率记混(米/厘米=100但平方=10000)
KP-0528,图形与几何,立体图形的认识与测量,体积单位,相邻体积单位间的进率(1000),算法-单位换算,KP-0387,,五下,L2,,,,,,,,L2,域4:体积与表面积混淆/单位换算(立方)漏乘1000
KP-0529,图形与几何,观察物体,观察物体(还原),根据三视图还原立体图形,实践-构图,KP-0138,,三上,L2,,,,,,,,L2,
KP-0530,图形与几何,平面图形的认识与测量(曲线),圆的应用,同心圆弧长差(确定起跑线原理),实践-应用模型,KP-0441,,六上,L3,,,,,,,,L3,域4:半径/直径混淆/圆周率意义不清
KP-0531,竞赛数学,计数原理,基本计数原理,加法原理(分类计数原理),概念-定义,,,四上,L2,,,,,,,,L3,
KP-0532,竞赛数学,计数原理,基本计数原理,乘法原理(分步计数原理),概念-定义,KP-0531,,四上,L2,,,,,,,,L3,
KP-0533,竞赛数学,计数原理,排列与组合,排列数的概念与计算,概念-定义,KP-0532,,四上,L2,,,,,,,,L3,
KP-0534,竞赛数学,计数原理,排列与组合,组合数的概念与计算,概念-定义,KP-0533,,四上,L2,,,,,,,,L3,
KP-0535,竞赛数学,计数原理,容斥原理,两集合容斥原理公式,表征-互化,KP-0531|KP-0141,,四上,L2,,,,,,,,L2,
KP-0536,竞赛数学,数论进阶,奇偶性运算,奇偶数加减运算规律(奇±奇=偶/奇±偶=奇/偶±偶=偶),关系-变化规律,KP-0349,,六上,L3,,,,,,,,L3,
KP-0537,竞赛数学,数论进阶,奇偶性运算,奇偶数乘法运算规律(奇×奇=奇/奇×偶=偶/偶×偶=偶),关系-变化规律,KP-0349,,六上,L3,,,,,,,,L3,
KP-0538,竞赛数学,数论进阶,整除性质进阶,整除的传递性(a|b且b|c则a|c),概念-性质,KP-0338,,六上,L3,,,,,,,,L3,
KP-0539,竞赛数学,数论进阶,整除性质进阶,7的倍数特征(截尾法),概念-认识,KP-0338,,六上,L1,,,,,,,,L1,域5:倍与'多几倍'混淆
KP-0540,竞赛数学,数论进阶,整除性质进阶,11的倍数特征(奇偶位差法),概念-认识,KP-0338,,六上,L1,,,,,,,,L1,域5:倍与'多几倍'混淆
KP-0541,竞赛数学,数论进阶,余数与同余,余数的运算性质(可加性/可减性/可乘性),概念-性质,KP-0104,,六上,L3,,,,,,,,L3,
KP-0542,竞赛数学,数论进阶,余数与同余,同余的概念与记法(a≡b(mod m)),概念-定义,KP-0541,,六上,L2,,,,,,,,L3,
KP-0543,竞赛数学,数论进阶,完全平方数性质,完全平方数的尾数特征(只能是0/1/4/5/6/9),概念-认识,KP-0348,,六上,L1,,,,,,,,L1,
KP-0544,,,,,概念-认识,,,,L1,,,,,,,,L1,
KP-0545,竞赛数学,数论进阶,完全平方数性质,完全平方数的因数个数为奇数,概念-性质,KP-0348|KP-0339,,六上,L3,,,,,,,,L3,
KP-0546,竞赛数学,数论进阶,因数定理,因数个数定理(质因数分解求因数个数),概念-定理,KP-0346,,六上,L3,,,,,,,,L4,
KP-0547,竞赛数学,数论进阶,因数定理,因数和定理(质因数分解求因数之和),概念-定理,KP-0546,,六上,L3,,,,,,,,L4,
KP-0548,竞赛数学,数论进阶,进位制,进位制的概念(非十进制数的表示方法),概念-定义,KP-0225,,六上,L2,,,,,,,,L3,域2:忘记加上进位的1(工作记忆过载)
KP-0549,竞赛数学,数论进阶,进位制,二进制与十进制的互化,算法-不进位,KP-0548,,六上,L1,,,,,,,,L1,
KP-0550,竞赛数学,计算进阶,等差数列公式体系,等差数列通项公式,概念-公式,KP-0399,,五上,L2,,,,,,,,L3,
KP-0551,竞赛数学,计算进阶,等差数列公式体系,等差数列中项定理,概念-定理,KP-0550,,五上,L3,,,,,,,,L4,
KP-0552,竞赛数学,计算进阶,等比数列,等比数列的概念与通项公式,概念-公式,KP-0554,,五上,L2,,,,,,,,L3,域3:比与比值混淆/化简比和求比值不分
KP-0553,竞赛数学,计算进阶,等比数列,等比数列求和公式,概念-公式,KP-0552,,五上,L2,,,,,,,,L3,域3:比与比值混淆/化简比和求比值不分
KP-0554,竞赛数学,计算进阶,乘方,乘方的定义与运算(a^n的意义),概念-定义,KP-0086,,五上,L2,,,,,,,,L3,
KP-0555,竞赛数学,计算进阶,乘方,同底数幂的运算律(a^m×a^n=a^(m+n)等),关系-运算律,KP-0554,,五上,L2,,,,,,,,L2,
KP-0556,竞赛数学,计算进阶,代数恒等式,平方差公式,概念-公式,KP-0554|KP-0260,,五上,L2,,,,,,,,L3,
KP-0557,竞赛数学,计算进阶,代数恒等式,完全平方公式((a±b)²=a²±2ab+b²),概念-公式,KP-0554,,五上,L2,,,,,,,,L3,
KP-0558,竞赛数学,计算进阶,裂项求和,整数裂项原理(连续整数积差的拆分),关系-运算律,KP-0399,,五上,L2,,,,,,,,L2,
KP-0559,竞赛数学,计算进阶,裂项求和,分数裂项原理(1/(n(n+k))的拆分),关系-运算律,KP-0367,,五上,L2,,,,,,,,L2,域3:用整数思维理解分数(分母越大值越大)
KP-0560,竞赛数学,计算进阶,循环小数与分数互化,纯循环小数化分数的方法,算法-不进位,KP-0321,,五上,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0561,竞赛数学,计算进阶,循环小数与分数互化,混循环小数化分数的方法,算法-不进位,KP-0560,,五上,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0562,竞赛数学,几何进阶,三角形外角,三角形外角定理(外角=不相邻两内角之和),概念-定理,KP-0296,,五上,L3,,,,,,,,L4,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0563,竞赛数学,几何进阶,三角形外角,多边形外角和(360度),概念-定理,KP-0298,,五上,L3,,,,,,,,L4,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0564,竞赛数学,几何进阶,勾股定理,勾股定理(直角三角形a²+b²=c²),概念-定理,KP-0299,,五上,L3,,,,,,,,L4,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0565,竞赛数学,几何进阶,勾股定理,常见勾股数组,概念-定义,KP-0564,,五上,L2,,,,,,,,L3,
KP-0566,竞赛数学,几何进阶,相似三角形,相似三角形的概念与判定,概念-定理,KP-0299|KP-0300,,五上,L3,,,,,,,,L4,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0567,竞赛数学,几何进阶,相似三角形,相似比与面积比的关系(面积比=相似比²),概念-定理,KP-0566,,五上,L3,,,,,,,,L4,域3:比与比值混淆/化简比和求比值不分
KP-0568,竞赛数学,几何进阶,面积关系定理,等高三角形面积比等于底之比,概念-定理,KP-0374,,五上,L3,,,,,,,,L4,域3:比与比值混淆/化简比和求比值不分
KP-0569,竞赛数学,几何进阶,面积关系定理,等底三角形面积比等于高之比,概念-定理,KP-0374,,五上,L3,,,,,,,,L4,域3:比与比值混淆/化简比和求比值不分
KP-0570,竞赛数学,方程进阶,方程组,二元一次方程组的概念与解法,概念-定义,KP-0328,,五上,L2,,,,,,,,L3,
KP-0571,竞赛数学,方程进阶,不定方程,不定方程的概念(整数解约束),概念-定义,KP-0328,,五上,L2,,,,,,,,L3,
KP-0572,数与代数,分数加减法,同分母分数加减法,同分母分数加减法的算理(相同分数单位直接相加减),概念-意义,KP-0358|KP-0360,,五下,人教版,5,下,,,,,,L2,域3:用整数思维理解分数(分母越大值越大)
KP-0573,数与代数,分数加减法,异分母分数加减法,异分母分数加减法的算理(通分=统一分数单位),概念-意义,KP-0572|KP-0363,,五下,人教版,5,下,,,,,,L2,域3:用整数思维理解分数(分母越大值越大)
KP-0574,数与代数,小数加减法,小数加减法的对齐规则,小数加减法对齐规则的算理(相同计数单位相加减),概念-意义,KP-0153|KP-0262,,四下,人教版,4,下,,,,,,L2,域3:末位对齐而非小数点对齐
KP-0575,数与代数,表内乘法,乘法口诀,乘法口诀表的整体规律(交换位置积不变),概念-性质,KP-0088|KP-0089,,二上,人教版,2,上,,,,,,L2,域2:检索失败(邻项干扰)/序列依赖(必须从头背)
KP-0576,图形与几何,观察物体,三视图,三视图的概念(正/侧/上面投影),概念-定义,KP-0138,,五下,人教版,5,下,,,,,,L2,
KP-0577,图形与几何,平面图形的测量(面积),面积关系,等底等高三角形与平行四边形面积关系,概念-定理,KP-0374|KP-0372,,五上,人教版,5,上,,,,,,L3,"域4:忘记三角形面积÷2,直接用底×高等于平行四边形面积"
